Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
525,Elye Wahi,ci CIV,FW,Nice,23-108,2003,8.1,4,18,11,61.1,2.23,1.36,0.22,0.36,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
526,Timothy Weah,us USA,"MF,DF",Marseille,26-057,2000,23.1,2,25,10,40,1.08,0.43,0.08,0.2,0,0,Matches
527,Christopher Wooh,cm CMR,DF,Rennes,24-214,2001,0.7,0,0,0,,0,0,,,0,0,Matches
528,Daniel Xavier Semedo,fr FRA,MF,Lorient,22-177,2003,0.1,0,0,0,,0,0,,,0,0,Matches
529,Roman Yaremchuk,ua UKR,FW,Lyon,30-144,1995,3.2,1,8,2,25,2.49,0.62,0.13,0.5,0,0,Matches
530,Gessime Yassine,ma MAR,MF,Strasbourg,20-149,2005,3.6,0,7,1,14.3,1.97,0.28,0,0,0,0,Matches
531,Terry Yegbe,gh GHA,DF,Metz,25-085,2001,17.8,0,4,1,25,0.22,0.06,0,0,0,0,Matches
532,Bertuğ Yıldırım,tr TUR,FW,Rennes,23-282,2002,0,0,0,0,,0,0,,,0,0,Matches
533,Darlin Yongwa,cm CMR,"DF,MF",Lorient,25-210,2000,14.5,0,10,2,20,0.69,0.14,0,0,0,0,Matches
534,Ali Yousuf,ly LBY,DF,Nantes,24-285,2001,8.4,0,4,1,25,0.48,0.12,0,0,0,0,Matches
535,Etienne Youte Kinkoue,fr FRA,"DF,MF",Le Havre,24-096,2002,3.6,0,0,0,,0,0,,,0,0,Matches
536,Illia Zabarnyi,ua UKR,DF,Paris Saint-Germain,23-231,2002,21.5,1,4,3,75,0.19,0.14,0.25,0.33,0,0,Matches
537,Yassir Zabiri,ma MAR,MF,Rennes,21-056,2005,0.4,0,2,1,50,5.29,2.65,0,0,0,0,Matches
538,Yvan Zaddy,ci CIV,MF,Auxerre,19-354,2006,0,0,0,0,,0,0,,,0,0,Matches
539,Stephan Zagadou,fr FRA,DF,Le Havre,17-178,2008,5.5,1,1,1,100,0.18,0.18,1,1,0,0,Matches
540,Warren Zaïre-Emery,fr FRA,"DF,MF",Paris Saint-Germain,20-043,2006,25.1,2,18,6,33.3,0.72,0.24,0.11,0.33,0,0,Matches
541,Denis Zakaria,ch SUI,"DF,MF",Monaco,29-151,1996,18.6,2,14,2,14.3,0.75,0.11,0.14,1,0,0,Matches
542,Melvin Zinga,fr FRA,GK,Angers,24-035,2002,2,0,0,0,,0,0,,,0,0,Matches
543,Luck Zogbé,ci CIV,DF,Brest,21-027,2005,2.2,0,2,0,0,0.92,0,0,,0,0,Matches
544,Yanis Zouaoui,dz ALG,"DF,MF",Le Havre,27-359,1998,23.4,0,13,3,23.1,0.56,0.13,0,0,0,0,Matches
545,Idrissa Sabaly,,,Strasbourg,,,0.6,0,1,0,,,,,,,,
