Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
601,Dieter Villalpando,mx MEX,MF,FC Juárez,31,1991,13.1,0,25,5,20,1.91,0.38,0,0,0,0,Matches
602,Dieter Villalpando,mx MEX,"MF,FW",Atlético San Luis,31,1991,15.7,3,34,17,50,2.16,1.08,0.09,0.18,0,0,Matches
603,Abraham Villegas,,DF,Toluca,20,2002,3.7,1,3,1,33.3,0.82,0.27,0.33,1,0,0,Matches
604,Federico Viñas,uy URU,FW,León,25,1998,25,14,92,42,45.7,3.68,1.68,0.13,0.29,2,2,Matches
605,Isaías Violante,mx MEX,FW,Toluca,19,2003,1.5,0,3,3,100,1.96,1.96,0,0,0,0,Matches
606,Vitinho,br BRA,"MF,FW",Atlético San Luis,22,2001,18,7,58,25,43.1,3.22,1.39,0.12,0.28,0,0,Matches
607,Tiago Volpi,br BRA,GK,Toluca,32,1990,34,9,11,9,81.8,0.32,0.26,0,0,9,11,Matches
608,Andrija Vukčević,me MNE,"DF,MF",FC Juárez,26,1996,15.5,1,8,2,25,0.52,0.13,0.13,0.5,0,0,Matches
609,Facundo Waller,uy URU,MF,Puebla,26,1997,0.9,0,1,0,0,1.08,0,0,,0,0,Matches
610,Édgar Yoel Bárcenas,pa PAN,"MF,FW",Mazatlán,29,1993,20.5,3,54,18,33.3,2.64,0.88,0.06,0.17,0,0,Matches
611,Paolo Yrizar,mx MEX,FW,Querétaro,25,1997,0.2,0,0,0,,0,0,,,0,0,Matches
612,Diego Zago,mx MEX,MF,Puebla,21,2002,1,0,2,0,0,1.98,0,0,,0,0,Matches
613,Ángel Zaldívar,mx MEX,FW,FC Juárez,29,1994,7.9,3,18,8,44.4,2.27,1.01,0.11,0.25,1,1,Matches
614,Ángel Zaldívar,mx MEX,FW,Atlético San Luis,29,1994,2.6,2,8,5,62.5,3.08,1.92,0.13,0.2,1,2,Matches
615,Edgar Zaldívar,mx MEX,MF,Atlas,26,1996,10.1,1,11,7,63.6,1.09,0.69,0.09,0.14,0,0,Matches
616,Mauro Zaleta,mx MEX,MF,Cruz Azul,21,2002,0.4,0,1,0,0,2.31,0,0,,0,0,Matches
617,Ángel Zapata,mx MEX,MF,FC Juárez,22,2001,3.3,1,5,1,20,1.5,0.3,0.2,1,0,0,Matches
618,Juan Zapata,co COL,MF,Atlas,23,2000,14.9,4,48,15,31.3,3.22,1.01,0.08,0.27,0,0,Matches
619,Alejandro Zendejas,us USA,MF,América,25,1998,19.6,9,41,21,51.2,2.09,1.07,0.22,0.43,0,0,Matches
620,Alan Zubiri,mx MEX,DF,Cruz Azul,22,2001,1,0,0,0,,0,0,,,0,0,Matches
621,José Zúñiga,co COL,"FW,MF",Tijuana,29,1994,8.1,3,22,8,36.4,2.72,0.99,0.14,0.38,0,0,Matches
622,José Zúñiga,co COL,FW,Querétaro,29,1994,9.5,6,22,11,50,2.31,1.16,0.27,0.55,0,0,Matche
