Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
474,Dani Rodríguez,es ESP,"FW,MF",Mallorca,37-318,1988,0.8,0,1,0,0,1.32,0,0,,0,0,Matches
475,Guido Rodríguez,ar ARG,MF,Valencia,32-008,1994,7.5,2,9,2,22.2,1.19,0.27,0.22,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
476,Javi Rodríguez,es ESP,DF,Celta Vigo,22-298,2003,21.4,0,9,1,11.1,0.42,0.05,0,0,0,0,Matches
477,Ricardo Rodríguez,ch SUI,DF,Real Betis,33-238,1992,13.4,0,2,0,0,0.15,0,0,,0,0,Matches
478,Rodrygo,br BRA,"MF,FW",Real Madrid,25-101,2001,7.6,1,27,11,40.7,3.55,1.45,0.04,0.09,0,0,Matches
479,Leo Román,es ESP,GK,Mallorca,25-288,2000,26,0,0,0,,0,0,,,0,0,Matches
480,Miguel Román,es ESP,MF,Celta Vigo,23-115,2002,14.6,1,9,2,22.2,0.62,0.14,0.11,0.5,0,0,Matches
481,Carlos Romero,es ESP,DF,Espanyol,24-173,2001,28.6,5,29,8,27.6,1.01,0.28,0.17,0.63,0,0,Matches
482,Isaac Romero,es ESP,FW,Sevilla,25-337,2000,12.9,4,34,13,38.2,2.64,1.01,0.12,0.31,0,1,Matches
483,Iván Romero,es ESP,"FW,MF",Levante,25-010,2001,21.7,5,54,15,27.8,2.49,0.69,0.09,0.33,0,1,Matches
484,Zaid Romero,ar ARG,DF,Getafe,26-126,1999,11,0,6,0,0,0.55,0,0,,0,0,Matches
485,Salomón Rondón,ve VEN,FW,Oviedo,36-216,1989,11.5,2,24,5,20.8,2.09,0.44,0.08,0.4,0,1,Matches
486,Valentin Rosier,fr FRA,"DF,MF",Osasuna,29-244,1996,21.4,1,12,3,25,0.56,0.14,0.08,0.33,0,0,Matches
487,Rubén,es ESP,DF,Espanyol,25-075,2001,5.9,0,5,0,0,0.85,0,0,,0,0,Matches
488,Antonio Rüdiger,de GER,DF,Real Madrid,33-048,1993,12,1,11,1,9.1,0.91,0.08,0.09,1,0,0,Matches
489,Javi Rueda,es ESP,MF,Celta Vigo,23-347,2002,11.9,2,11,3,27.3,0.93,0.25,0.18,0.67,0,0,Matches
490,Matteo Ruggeri,it ITA,DF,Atlético Madrid,23-283,2002,15.2,0,4,2,50,0.26,0.13,0,0,0,0,Matches
491,Aitor Ruibal,es ESP,"DF,MF",Real Betis,30-029,1996,18.3,4,31,12,38.7,1.7,0.66,0.13,0.33,0,0,Matches
492,Abel Ruiz,es ESP,FW,Girona,26-082,2000,2.1,0,5,1,20,2.41,0.48,0,0,0,0,Matches
493,Mathew Ryan,au AUS,GK,Levante,34-012,1992,29,0,2,0,0,0.07,0,0,,0,0,Matches
494,Umar Sadiq,ng NGA,FW,Valencia,29-077,1997,6.5,1,14,4,28.6,2.17,0.62,0.07,0.25,0,0,Matches
495,Umar Sadiq,ng NGA,FW,Real Sociedad,29-077,1997,1.7,0,4,0,0,2.35,0,0,,0,0,Matches
496,Jan Salas,es ESP,MF,Mallorca,20-253,2005,0.2,0,0,0,,0,0,,,0,0,Matches
497,Kike Salas,es ESP,DF,Sevilla,23-362,2002,17.5,1,11,6,54.5,0.63,0.34,0.09,0.17,0,0,Matches
