Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
812,Lucas Torreira,uy URU,MF,tr Galatasaray,30-068,1996,10.9,0,9,1,11.1,0.82,0.09,0,0,0,0,Matches
813,Ferrán Torres,es ESP,"FW,MF",es Barcelona,26-050,2000,4,3,16,7,43.8,3.98,1.74,0.19,0.43,0,0,Matches
814,James Trafford,eng ENG,GK,eng Manchester City,23-192,2002,1,0,0,0,,0,0,,,0,0,Matches
815,Nicolo Tresoldi,de GER,FW,be Club Brugge,21-243,2004,6.1,3,18,8,44.4,2.96,1.32,0.17,0.38,0,0,Matches
816,Francisco Trincão,pt POR,MF,pt Sporting CP,26-112,1999,10.6,4,27,7,25.9,2.55,0.66,0.15,0.57,0,0,Matches
817,Kieran Trippier,eng ENG,DF,eng Newcastle United,35-213,1990,7.4,0,0,0,,0,0,,,0,0,Matches
818,Leandro Trossard,be BEL,"FW,MF",eng Arsenal,31-137,1994,4.9,1,19,6,31.6,3.89,1.23,0.05,0.17,0,0,Matches
819,Anatolii Trubin,ua UKR,GK,pt Benfica,24-262,2001,10,1,1,1,100,0.1,0.1,1,1,0,0,Matches
820,Azamat Tuyakbaev,kz KAZ,FW,kz FC Kairat,18-281,2007,0.8,0,2,0,0,2.43,0,0,,0,0,Matches
821,Kostas Tzolakis,gr GRE,GK,gr Olympiacos,23-163,2002,9,0,0,0,,0,0,,,0,0,Matches
822,Christos Tzolis,gr GRE,"MF,FW",be Club Brugge,24-080,2002,8,2,27,12,44.4,3.37,1.5,0.07,0.17,0,0,Matches
823,Destiny Udogie,it ITA,"DF,MF",eng Tottenham Hotspur,23-143,2002,3.5,0,1,1,100,0.29,0.29,0,0,0,0,Matches
824,Arda Ünyay,tr TUR,DF,tr Galatasaray,19-092,2007,0.4,0,1,0,0,2.5,0,0,,0,0,Matches
825,Dayot Upamecano,fr FRA,DF,de Bayern Munich,27-175,1998,9.3,0,8,3,37.5,0.86,0.32,0,0,0,0,Matches
